Matrix ModCSR Jagged Ellpack
1138_bus 1193281 671138 1069642
494_bus 8536 9195 67654
662_bus 7988 8999 59485
685_bus 11356 9790 124274
abb313 8393 13481 139046
af23560 18432 10932 601552
arc130 10606 16605 537715
ash219 8774 6616 98190
ash292 8617 7947 92719
ash331 5337 6333 87994
ash608 5618 6850 77385
ash85 7399 7142 86187
ash958 5890 7721 83328
bcspwr01 5143 7600 54999
bcspwr02 6052 8822 80567
bcspwr03 10239 11152 89287
bcspwr04 9592 9164 112989
bcspwr05 8361 8482 45094
bcspwr06 5901 6047 44125
bcspwr07 9040 6197 66507
bcspwr08 6524 6415 52289
bcspwr09 5470 5777 35668
bcspwr10 4768 5589 43248
bcsstk01 6947 10371 103166
bcsstk02 28342 22965 881534
bcsstk04 11869 19885 305524
bcsstk05 9159 8052 158311
bcsstk06 9040 12850 189111
bcsstk07 13315 9922 196690
bcsstk08 7586 8506 263012
bcsstk09 6331 10102 93268
bcsstk10 12343 12798 162742
bcsstk11 8024 8435 154183
bcsstk12 7750 10138 153625
bcsstk13 33444 9904 402302
bcsstk14 10554 13685 264461
bcsstk15 9991 25180 270127
bcsstk16 7367 8351 157555
bcsstk17 8357 9608 165325
bcsstk18 6836 11237 196820
bcsstk19 6296 7676 85270
bcsstk20 5612 6040 45565
bcsstk21 5199 6675 44569
bcsstk22 6751 8887 44355
bcsstk23 7274 8078 83715
bcsstk24 11067 14211 630759
bcsstk25 8453 7967 72012
bcsstk26 8175 8669 107417
bcsstk27 11693 13135 533217
bcsstk28 11576 13632 254598
bcsstk29 12414 13535 280605
bcsstk30 12955 13744 256433
bcsstk31 9767 10782 166643
bcsstk32 10663 12213 215109
bcsstk33 10008 9782 136254
bcsstk34 9555 10560 201914
bcsstk35 11861 12353 200682
bcsstk36 12611 14460 197814
bcsstk37 10136 11137 263733
bcsstk38 12354 13806 284013
bcsstm02 4853 5832 27113
bcsstm05 4732 6325 26952
bcsstm06 5350 5876 26600
bcsstm07 9573 11890 297760
bcsstm08 4935 6291 25664
bcsstm09 5044 6311 24100
bcsstm10 9546 10407 137624
bcsstm11 6732 6521 23814
bcsstm19 4656 7182 29088
bcsstm20 5972 6587 23664
bcsstm21 8507 7366 25389
bcsstm22 4832 5723 23549
bcsstm23 5950 6995 38082
bcsstm24 7908 6896 30900
bcsstm25 5005 6925 33824
bcsstm26 5971 6550 36591
bcsstm27 12420 26480 269302
bcsstm34 19004 16270 204097
bcsstm39 12058 9106 25374
beaflw 23140 12559 83773
beause 11568 11449 82624
bfwa398 12503 12812 98373
bfwa62 12479 11894 140634
bfwa782 11548 12699 99032
bfwb398 12913 10869 62126
bfwb62 8293 7799 62192
bfwb782 9633 10267 238807
big 52065 10521 29369
blckhole 10476 12253 63950
bwm200 8936 11771 43633
bwm2000 8811 13360 51269
can_1054 12000 11117 66114
can_1072 11829 11444 65618
can_144 9626 10011 63654
can_161 10506 10678 79599
can_187 53358 9573 62777
can_229 7740 10301 62117
