Matrix CSR ModCSR Jagged Ellpack
1138_bus 66344 1102936 77658 45765
494_bus 6241 5677 7557 8823
662_bus 6068 5043 6921 8908
685_bus 7739 6419 5900 10082
abb313 6954 6190 9341 38736
af23560 9189 6888 8856 17892
arc130 9830 6763 11680 76137
ash219 25571 6149 5444 12634
ash292 10377 5300 6503 13963
ash331 6871 5201 8091 25743
ash608 4724 5219 5755 15816
ash85 7895 5213 6156 11268
ash958 5013 4785 5713 21377
bcspwr01 4682 4228 4696 8901
bcspwr02 4582 15930 4877 10204
bcspwr03 44844 5993 7402 7234
bcspwr04 6000 5115 5768 12799
bcspwr05 5686 4292 5976 10637
bcspwr06 5337 4199 5586 8550
bcspwr07 4917 4430 5544 10826
bcspwr08 5089 4263 5714 12157
bcspwr09 4619 5584 5724 14066
bcspwr10 3885 3507 5149 4814
bcsstk01 4600 4840 5885 14703
bcsstk02 12841 12154 15503 86044
bcsstk04 8000 7355 9497 38636
bcsstk05 6013 5430 6879 27615
bcsstk06 6444 6481 7239 25050
bcsstk07 6384 6090 10296 45127
bcsstk08 5534 5034 7760 55942
bcsstk09 5057 4370 8759 14572
bcsstk10 25550 6159 7929 21915
bcsstk11 5744 5198 6863 24934
bcsstk12 5610 5494 7019 25410
bcsstk13 6104 6036 7391 27595
bcsstk14 7640 7066 9053 37313
bcsstk15 6972 7498 8642 44679
bcsstk16 6075 5283 7643 21837
bcsstk17 6188 5988 7716 55874
bcsstk18 5503 4769 6151 18271
bcsstk19 5160 5999 7907 11685
bcsstk20 4860 4323 6227 9039
bcsstk21 5640 4747 6254 8520
bcsstk22 5419 4265 7920 8667
bcsstk23 9232 5590 6844 14707
bcsstk24 6637 9539 8884 34695
bcsstk25 6182 5360 9516 28585
bcsstk26 5906 5720 7189 36439
bcsstk27 12244 12089 10287 38674
bcsstk28 8741 11400 10417 55452
bcsstk29 8550 7722 10349 60465
bcsstk30 13205 7763 9871 44453
bcsstk31 7018 6205 7738 32280
bcsstk32 7174 7212 8868 46119
bcsstk33 5903 16082 7561 17336
bcsstk34 18788 11640 16845 62459
bcsstk35 7167 10160 13355 28302
bcsstk36 14204 7380 8911 35947
bcsstk37 7238 9145 8124 28787
bcsstk38 11226 13522 16240 44000
bcsstm02 5577 9620 12738 14635
bcsstm05 3669 4669 6634 6878
bcsstm06 4070 3599 4599 4289
bcsstm07 30654 6221 32693 25773
bcsstm08 4998 5261 5225 5411
bcsstm09 4746 4749 5209 6262
bcsstm10 6740 6310 7585 21400
bcsstm11 7330 3747 5343 4828
bcsstm19 4028 3954 4791 4988
bcsstm20 8497 4591 7732 7579
bcsstm21 4643 17400 16561 5517
bcsstm22 9195 3473 4782 4719
bcsstm23 4760 3534 14491 4877
bcsstm24 5096 3915 10580 5111
bcsstm25 8207 12811 18277 5774
bcsstm26 4490 3850 4919 5450
bcsstm27 11757 24244 9686 37647
bcsstm34 8961 7860 8744 55321
bcsstm39 6212 3867 5200 5216
beaflw 31370 6114 10142 37198
beause 8192 6573 6347 30110
bfwa398 15659 5683 10108 18434
