Matrix rc_dimension lower_bandwidth upper_bandwidth max_bandwidth average_bandwidth max_column_length min_column_length max_row_length min_row_length zero_column_number zero_row_number diag_domi_column_percentage diag_domi_row_percentage Frobenius_norm sym_part_Frobenius_norm nonsym_part_Frobenius_norm matching_elements_number relative_sym_match average_dist_of_a standard_deviation nonzero_number_in_skyline nonzero_number_of_lower_part nonzero_number_of_upper_part nonzero_number_of_maindiag
1138_bus 60.0 32.0 0.0 33.0 5.233333333333333 4.0 1.0 30.0 -31.0 0.0 16.0 1.0 1.0 32571.882166834774 31509.41643900811 8251.31405070336 60.0 0.5555555820465088 3.3518518518518516 7.5354898766938705 314.0 0.0 48.0 60.0
494_bus 60.0 49.0 0.0 50.0 4.3 4.0 1.0 49.0 -48.0 0.0 15.0 1.0 0.9833333333333333 3522.6347751913404 3508.5568051557198 314.6186650261489 60.0 0.6976743936538696 2.36046511627907 8.421888412632269 258.0 0.0 26.0 60.0
662_bus 60.0 41.0 0.0 42.0 4.95 2.0 1.0 41.0 -40.0 0.0 12.0 1.0 1.0 1445.628007170866 1445.2929628929237 31.122122822894646 60.0 0.8333333134651184 3.2916666666666665 9.171873521199956 297.0 0.0 12.0 60.0
685_bus 60.0 41.0 0.0 42.0 6.583333333333333 5.0 1.0 36.0 -40.0 0.0 20.0 0.9166666666666666 1.0 26625.62127628853 26580.86971249665 1543.0728030869752 60.0 0.47999998927116394 3.76 7.650777738243349 395.0 0.0 65.0 60.0
abb313 60.0 43.0 208.0 209.0 15.133333333333333 5.0 0.0 5.0 -22.0 5.0 6.0 0.08333333333333333 0.6 14.45683229480096 10.222524150130438 10.222524150130438 0.0 0.0 24.291866028708135 10.10310392691911 2565.0 0.0 209.0 0.0
af23560 60.0 8.0 8.0 17.0 15.4 11.0 5.0 4.0 -15.0 0.0 8.0 0.7833333333333333 0.7833333333333333 360.70374470418875 357.20798164266427 50.09640001435881 548.0 0.9448275566101074 4.275862068965517 2.4154181721789425 924.0 262.0 258.0 60.0
arc130 60.0 55.0 55.0 60.0 38.75 32.0 1.0 6.0 -56.0 0.0 2.0 0.8166666666666667 0.3 303565.44172912656 214653.18247628477 214653.18228482557 428.0 0.7303754091262817 17.50853242320819 16.094985616956638 3177.0 239.0 287.0 60.0
ash219 60.0 41.0 26.0 40.0 10.983333333333333 2.0 2.0 20.0 -26.0 0.0 11.0 0.06666666666666667 0.4666666666666667 10.954451150103322 8.06225774829855 7.416198487095663 10.0 0.0833333358168602 17.141666666666666 12.26396879299501 1621.0 14.0 102.0 4.0
ash292 60.0 21.0 0.0 22.0 10.316666666666666 6.0 1.0 10.0 -12.0 0.0 14.0 0.06666666666666667 0.23333333333333334 15.165750888103101 12.041594578792296 9.219544457292887 60.0 0.260869562625885 4.960869565217391 6.595996093180139 619.0 0.0 170.0 60.0
ash331 60.0 46.0 4.0 14.0 6.4 2.0 2.0 15.0 -22.0 0.0 8.0 0.03333333333333333 0.6166666666666667 10.954451150103322 7.810249675906654 7.681145747868608 2.0 0.01666666753590107 20.933333333333334 13.608045006131077 2708.0 3.0 115.0 2.0
